paises;quantidade_kg;valor;categorias;ano
Dominica;-;-;Espumantes;2008
El Salvador;-;-;Espumantes;2008
Emirados Arabes Unidos;-;-;Espumantes;2008
Equador;-;-;Espumantes;2008
Espanha;995;3.094;Espumantes;2008
Estados Unidos;283.760;324.094;Espumantes;2008
Estonia;-;-;Espumantes;2008
Falkland (Malvinas);-;-;Espumantes;2008
Filipinas;-;-;Espumantes;2008
Filânldia;-;-;Espumantes;2008
França;5.922;15.429;Espumantes;2008
Gana;-;-;Espumantes;2008
Gibraltar;-;-;Espumantes;2008
Granada;-;-;Espumantes;2008
Grêcia;-;-;Espumantes;2008
Guatemala;-;-;Espumantes;2008
Guiana;-;-;Espumantes;2008
Guiné Equatorial;2;416;Espumantes;2008
Guiné-Bissau;-;-;Espumantes;2008
Haiti;-;-;Espumantes;2008
Honduras;54;202;Espumantes;2008
Hong Kong;810;4.054;Espumantes;2008
Hungria;-;-;Espumantes;2008
Ilha de Man;-;-;Espumantes;2008
Índia;-;-;Espumantes;2008
Iraque;-;-;Espumantes;2008
Irlanda;-;-;Espumantes;2008
Islândia;-;-;Espumantes;2008
Italia;-;-;Espumantes;2008
Japão;964;3.578;Espumantes;2008
Jordânia;-;-;Espumantes;2008
Letonia;-;-;Espumantes;2008
Líbano;-;-;Espumantes;2008
Libéria;-;-;Espumantes;2008
Luxemburgo;1.683;6.367;Espumantes;2008
Maldivas;-;-;Espumantes;2008
Malta;-;-;Espumantes;2008
Marshall, Ilhas;-;-;Espumantes;2008
Montenegro;-;-;Espumantes;2008
Mexico;-;-;Espumantes;2008
Nicarágua;-;-;Espumantes;2008
Nigéria;-;-;Espumantes;2008
Noruega;-;-;Espumantes;2008
Nova Zelandia;-;-;Espumantes;2008
Paises Baixos (Holanda);-;-;Espumantes;2008
Panama;-;-;Espumantes;2008
Paraguai;4.637;8.088;Espumantes;2008
Peru;-;-;Espumantes;2008
Polonia;2.682;10.390;Espumantes;2008
Porto Rico;-;-;Espumantes;2008
Portugal;-;-;Espumantes;2008
Quenia;-;-;Espumantes;2008
