pais_origem;pais_destino;quantidade_litro;valor;categorias;ano_exportado
Brasil;Emirados Arabes Unidos;116384.0;401362.0;Uvas frescas;2008
Brasil;Espanha;3504580.0;6022297.0;Uvas frescas;2008
Brasil;Estados Unidos;9634362.0;26805893.0;Uvas frescas;2008
Brasil;Falkland (Ilhas Malvinas);60.0;61.0;Uvas frescas;2008
Brasil;Filipinas;137.0;455.0;Uvas frescas;2008
Brasil;França;200.0;892.0;Uvas frescas;2008
Brasil;Gabão;20.0;53.0;Uvas frescas;2008
Brasil;Gibraltar;125.0;480.0;Uvas frescas;2008
Brasil;Grêcia;2536.0;6949.0;Uvas frescas;2008
Brasil;Guiana;3902.0;12934.0;Uvas frescas;2008
Brasil;Hong Kong;11130.0;81767.0;Uvas frescas;2008
Brasil;Ilha de Man;124.0;459.0;Uvas frescas;2008
Brasil;Índia;548.0;1576.0;Uvas frescas;2008
Brasil;Indonésia;40.0;103.0;Uvas frescas;2008
Brasil;Irã;70.0;182.0;Uvas frescas;2008
Brasil;Irlanda;1412302.0;3175487.0;Uvas frescas;2008
Brasil;Itália;269.0;984.0;Uvas frescas;2008
Brasil;Japão;377.0;1270.0;Uvas frescas;2008
Brasil;Jordânia;40.0;116.0;Uvas frescas;2008
Brasil;Letonia;20.0;84.0;Uvas frescas;2008
Brasil;Libéria;10296.0;36932.0;Uvas frescas;2008
Brasil;Lituania;30168.0;65259.0;Uvas frescas;2008
Brasil;Luxemburgo;53.0;242.0;Uvas frescas;2008
Brasil;Malasia;70.0;276.0;Uvas frescas;2008
Brasil;Malta;3766.0;13755.0;Uvas frescas;2008
Brasil;Marrocos;20.0;66.0;Uvas frescas;2008
Brasil;Marshall, Ilhas;14389.0;50525.0;Uvas frescas;2008
Brasil;Noruega;381020.0;594883.0;Uvas frescas;2008
Brasil;Omã;100.0;311.0;Uvas frescas;2008
Brasil;Países Baixos;18874963.0;36345317.0;Uvas frescas;2008
Brasil;Panamá;10006.0;34309.0;Uvas frescas;2008
Brasil;Paquistão;50.0;206.0;Uvas frescas;2008
Brasil;Polonia;20.0;50.0;Uvas frescas;2008
Brasil;Portugal;1943.0;7713.0;Uvas frescas;2008
Brasil;Romênia;13194790.0;28569636.0;Uvas frescas;2008
Brasil;Russia,  Federação da;14440.0;32576.0;Uvas frescas;2008
Brasil;Samoa Americana;8.0;18.0;Uvas frescas;2008
Brasil;São Vicente e Granadinas;53.0;163.0;Uvas frescas;2008
Brasil;Serra Leoa;1.0;4.0;Uvas frescas;2008
Brasil;Singapura;16664.0;140893.0;Uvas frescas;2008
Brasil;Suécia;13.0;45.0;Uvas frescas;2008
Brasil;Suíça;2604.0;32752.0;Uvas frescas;2008
Brasil;Tailândia;811.0;3426.0;Uvas frescas;2008
Brasil;Taiwan;40.0;123.0;Uvas frescas;2008
Brasil;Turquia;194.0;642.0;Uvas frescas;2008
Brasil;Uruguai;194634.0;336671.0;Uvas frescas;2008
Brasil;Vanuatu;80.0;244.0;Uvas frescas;2008
Brasil;Vietnã;60.0;260.0;Uvas frescas;2008
Brasil;África do Sul;34344.0;49753.0;Suco de uva;2008
Brasil;Alemanha, República Democrática da;5.0;24.0;Suco de uva;2008
Brasil;Angola;86536.0;91839.0;Suco de uva;2008
Brasil;Antígua e Barbuda;48.0;57.0;Suco de uva;2008
Brasil;Argentina;1060.0;4845.0;Suco de uva;2008
Brasil;Austrália;15499.0;34539.0;Suco de uva;2008
Brasil;Bahamas;1374.0;2511.0;Suco de uva;2008
Brasil;Bangladesh;48.0;68.0;Suco de uva;2008
Brasil;Barbados;153.0;362.0;Suco de uva;2008
Brasil;Barein;24.0;7.0;Suco de uva;2008
Brasil;Bélgica;3210.0;7586.0;Suco de uva;2008
Brasil;Belize;45.0;333.0;Suco de uva;2008
Brasil;Bolívia;22695.0;29041.0;Suco de uva;2008
Brasil;Canadá;43210.0;105551.0;Suco de uva;2008
Brasil;Cayman, Ilhas;396.0;445.0;Suco de uva;2008
Brasil;Chile;2923.0;1932.0;Suco de uva;2008
Brasil;China;1212412.0;2226651.0;Suco de uva;2008
